"Country","Population","Rural","GNI","Imports","Exports","Military","Cell","Fertility","Measles","InfMort","LifeExp","PM2.5","CO2","EnergyUse","Renewable","Debt"
"Paraguay",6861524,36.851,5900,34.2551805109766,35.4870925101591,0.831483478747864,118.9635011,2.444,54,15,70.475,10.0891599097852,1.46482450893294,3.4,58.8,60.4423031952735
"Peru",34352719,21.078,6810,26.1288963774221,29.1453585008766,1.15356717784348,127.8361756,2.164,74,11.7,73.385,27.0356284968814,1.80943158548644,2.3,30.6,38.9946612230537
"Philippines",117337368,51.713,3950,37.7325748976525,25.7520349160187,0.996295469741129,143.4358742,2.725,69,21.8,72.187,20.2887417122616,1.34460221963309,2.78,28,25.9781782485932
"Poland",36685849,39.782,18960,54.3824692110598,57.6993442789919,2.38851188830618,132.058828,1.261,71,3.8,77.3048780487805,17.9583314936851,8.74358249522585,3.42,15.2,NA
"Portugal",10525347,32.094,25950,44.2241929394347,41.4017150747342,1.35438934019624,120.9425503,1.43,98,2.6,81.5804878048781,8.45242266236737,3.9656939332761,2.42,32.3,NA
"Puerto Rico",3205691,6.366,24760,42.330864652258,54.4132763801531,NA,112.4430134,0.9,NA,NA,79.72,7.18841521712249,3.91806126058309,0.68,2.6,NA
"Qatar",2716391,0.646000000000001,70070,34.0531415378261,58.7260170336864,6.96216611853725,144.2023856,1.781,99,4.5,81.559,75.6630329481338,38.0754563244261,7.2,0,NA
"Romania",19056116,45.328,15490,46.262124189443,40.5909965757002,1.73054506592533,118.6275646,1.81,83,5.5,75.3048780487805,14.8501731264834,4.05780246126833,2.4,23.6,NA
"Russian Federation",143826130,24.669,12810,20.4252266104753,29.7712144927837,4.05631633246717,168.9847242,1.416,97,3.8,72.5456097560976,11.2727775886895,13.2354401906202,8.46,3.5,17.1484707782721
"Rwanda",14094683,82.108,930,35.1190698656218,19.5192429385294,1.44995636096192,80.99152957,3.749,96,28.8,67.129,31.2882654917538,0.118054413328941,3.59,79.4,74.3580925411058
"Samoa",225681,82.492,3660,49.2031956067828,11.6856900452437,NA,31.54083853,3.875,82,13.9,72.598,12.5518952802963,1.5981509294817,4.9,36,56.6132683910098
"San Marino",33642,2.164,NA,158.15589246809,184.314281549571,NA,118.5325668,NA,91,1.3,NA,10.6908983278922,NA,NA,NA,NA
"Sao Tome and Principe",231856,23.599,2420,NA,NA,NA,84.81983981,3.751,77,11.3,68.794,27.3357522767854,0.69443222798839,3.97,40.8,71.2921457021635
"Saudi Arabia",36947025,15.05,27500,24.3681600690647,32.774653494342,7.42273250452989,126.3611144,2.393,98,5.5,77.905,53.1486013629285,16.696709753296,5.81,0.1,NA
"Senegal",17763163,50.421,1620,44.7363918727061,24.6396021156771,1.57213470423859,117.676782,4.314,80,28.2,67.913,63.7402211262202,0.697296541571543,3.58,35.4,120.402911355383
"Serbia",6618026,42.887,9300,62.8834358664867,54.8896349858855,2.27899881291153,123.7205974,1.63,81,4.4,75.4821951219512,22.5075355689004,NA,4.97,27.2,73.1212018839079
"Seychelles",119773,41.18,15000,103.50694354147,80.2638714731898,1.38078631653398,172.6683573,2.32,98,12.5,73.8487804878049,8.49983857722866,9.13512070605115,2.85,1.7,NA
"Sierra Leone",8791092,55.7,600,41.462686053721,16.9281420172564,0.599792940179085,97.70150515,3.876,90,76,60.411,43.2210935036927,0.127787129441146,5.49,71.1,48.9350717917604
"Singapore",5917648,0,66970,146.774441614378,183.010537162982,2.77056626777816,147.480416,1.04,96,1.8,82.8951219512195,13.8691955865476,9.48012975645651,2.51,1.1,NA
"Sint Maarten (Dutch part)",41163,0,36960,NA,NA,NA,NA,1.572,NA,NA,74.409,NA,NA,7.7,0,NA
"Slovak Republic",5426740,45.973,22080,92.1405640149184,92.0606424606817,1.75731102032193,135.1475011,1.57,95,4.9,77.0658536585366,15.3916194257365,6.48652589440755,4.14,17.9,NA
"Slovenia",2120937,43.912,29590,77.7227422591705,83.5629013723431,1.18798601519501,123.0185759,1.55,96,1.9,81.2829268292683,14.2911527506818,6.60368960779096,3.26,23.4,NA
"Solomon Islands",740424,73.963,2290,39.464516445593,27.1748908261232,NA,66.96324509,3.925,90,15.7,70.742,13.9542830081778,0.439199031304494,5.07,49.1,31.3290982230713
"Somalia",18143378,52.08,600,66.5127744648042,15.5711446332517,NA,51.82360917,6.202,46,68,56.107,24.525108218562,0.0534507408462481,6.57,95.4,40.1364890196962
"South Africa",60414495,31.181,6780,24.9733048979456,31.1113198468579,0.739893648166575,168.9243909,2.341,86,27.7,61.48,23.753069242361,6.76153333516435,6.57,9.7,43.3792434144384
"South Sudan",11088796,78.805,NA,NA,NA,3.0210780434718,30.48067634,4.337,72,63.8,55.567,30.7373478613476,NA,5.88,32.4,NA
"Spain",48373336,18.448,32090,33.2148671755475,34.1764229438186,1.46603384385733,119.623109,1.16,96,2.5,83.0829268292683,9.58105460690675,5.3238224685077,2.66,19,NA
"Sri Lanka",22037000,80.789,3620,24.3085542367604,16.921417512644,1.43043206686897,141.2920218,1.974,99,5.6,76.61,19.9644408635608,0.835665659798927,1.67,48.8,80.9951759814601
"St. Kitts and Nevis",47755,68.904,20670,NA,NA,NA,119.1089358,1.512,95,13.3,72.027,8.5943079884613,2.13819585790125,2.63,1.6,NA
"St. Lucia",180251,80.828,11500,NA,NA,NA,95.63211097,1.387,81,16,71.294,23.7585855502375,1.41668102992933,3.35,9.7,40.5853931415886
"St. Martin (French part)",32077,NA,NA,NA,NA,NA,NA,2.385,NA,NA,80.55,NA,NA,NA,NA,NA
"St. Vincent and the Grenadines",103698,45.701,9440,NA,NA,NA,94.15232144,1.778,96,10.1,68.972,23.9262758481858,0.796552122214954,2.46,5,62.7014256744659
"Sudan",48109006,63.658,760,1.87767821048496,2.2498704277993,NA,75.55500225,4.384,81,37,65.578,45.8349025581217,0.523170484132381,4.83,61,44.1520138649077
"Suriname",623236,33.589,4970,NA,NA,NA,147.8293071,2.322,74,14.8,70.289,27.3059698425997,5.32166202834768,4.74,14.5,125.565006690816
"Sweden",10536632,11.262,63900,41.7495449788374,46.496856499102,1.30746311852624,124.3473047,1.52,92,2,83.109756097561,5.63670790600148,3.60926985285795,3.49,57.9,NA
"Switzerland",8849852,25.798,95490,58.9686066461085,71.2875561763611,0.764653391906917,123.4337574,1.39,96,3.5,83.4536585365854,9.06104968621636,4.11419637729382,1.53,27.7,NA
"Syrian Arab Republic",23227014,42.591,NA,73.0562264704539,24.7950277607439,NA,79.67746006,2.704,41,17.8,72.3,24.7058382627422,1.2762523034204,NA,1.1,NA
"Tajikistan",10143543,71.766,1390,47.6440075467741,24.1819298886089,1.01612975491734,118.8094765,3.141,98,26.7,71.288,37.0534062306267,1.06013521639718,4.03,34.9,55.3227216564486
"Tanzania",67438106,62.591,1200,15.7951616808233,14.1200223265815,1.092190045588,84.99103625,4.661,86,30,66.782,25.081431153535,0.25922570650826,6.38,78.3,40.5285318314913
"Thailand",71801279,46.392,7240,58.5922658837129,58.5522377429416,1.15764084576469,168.7823161,1.317,96,7,79.68,31.0072016277159,3.93943514815049,4.44,19,39.9491361663741
"Timor-Leste",1360596,67.544,1980,36.3252417615003,63.5665570942568,1.10708519569663,104.9381426,3.047,79,41.5,69.056,17.4104661970888,0.426900549915902,2.45,12.1,8.89037958041675
"Togo",9053799,55.51,1000,33.9554650531882,23.6295484465081,5.44192262318708,72.35295227,4.196,71,42.1,61.588,51.6661369398223,0.275520729092491,8.6,75.1,37.3102478958624
"Tonga",107773,76.84,5000,60.844805035636,12.5226642915549,NA,60.67706123,3.193,99,9.4,71.27,12.4784129504796,1.56188586722566,4.65,1.8,NA
"Trinidad and Tobago",1534937,46.561,16190,NA,NA,0.716467302343877,130.8832291,1.614,92,13.8,74.708,25.6022583642289,19.0833183109042,18.72,0.5,NA
"Tunisia",12458223,29.456,3810,52.2079969177941,42.0130963174061,2.47677866774635,127.5767095,2.064,95,9.9,74.263,24.1829826735327,2.90668986057675,3.81,11.6,87.9523279691052
"Turkiye",85326000,22.537,10640,35.3387465749706,35.7436948119262,1.23348554849601,101.785223,1.882,95,8.3,78.475,21.6120469179783,5.6630735783408,2.48,12,51.0489996624014
"Turkmenistan",6516100,45.997,NA,12.4975717893342,20.560545290414,NA,98.62541796,2.617,98,35,69.41,19.5997611438189,10.8669568340961,10.18,0.1,8.08573999553223
"Turks and Caicos Islands",46062,5.753,24300,NA,NA,NA,NA,1.658,NA,4.1,74.925,NA,1.93422751241713,5.95,0.8,NA
"Tuvalu",11396,33.759,7160,NA,NA,NA,80.32845412,3.144,90,17.4,64.854,5.91780105591262,0,2.79,5,NA
"Uganda",48582334,73.229,930,25.9326225729506,15.7810081695276,2.06007852417852,65.70386414,4.468,90,30.2,63.638,33.8077192571642,0.159584470424449,10.2,91,43.6029862023018
"Ukraine",3.7e+07,29.905,4280,42.0096208865812,40.6883404768688,33.5465729986209,135.025689,1.265,74,7,68.5879268292683,14.90010098879,3.48793421052632,6.89,8.9,82.4522788145027
"United Arab Emirates",9516871,12.221,49160,NA,NA,NA,194.7336208,1.443,98,4.3,79.196,36.3055030826594,23.1751202636888,5.48,1,NA
"United Kingdom",68350000,15.358,48640,29.7513352208921,29.5973125272812,2.22718397866051,118.5668355,1.57,90,3.6,82.0585365853659,9.91288560282114,5.02441769556431,2.2,12.2,NA
"United States",334914895,16.702,76590,14.4455053059818,10.8079793571518,3.45491979773439,107.319451,1.665,92,5.4,77.4341463414634,7.81485752365112,14.5640461191554,4.24,10.9,NA
"Uruguay",3423108,4.229,17800,24.8416527618674,31.9820853475185,1.89979653202748,136.9212202,1.483,96,5.6,78,10.5717923259135,2.49547591821185,2.94,57.8,NA
"Uzbekistan",36412350,49.468,2200,40.1715680072354,23.6767229825956,NA,102.8976203,3.308,99,11.9,71.674,31.9604294559849,3.71502268003063,7.55,1,60.4014554588822
"Vanuatu",334506,74.024,3570,52.454745585111,9.36619786008863,NA,78.2951469,3.697,70,15.6,70.492,14.0824115364695,0.667503213564302,5.17,24.6,39.9361241975472
"Venezuela, RB",28838499,11.562,NA,NA,NA,0.649886788939365,60.31557029,2.188,68,21.2,71.105,15.2565796212874,3.42470288706373,8.32,33.7,NA
"Viet Nam",98858950,60.52,4020,92.8256256783819,93.8502071216558,NA,138.8654955,1.941,88,16.2,74.58,20.8010641731194,3.33960790026722,3.85,24.2,37.7041871724896
"Virgin Islands (U.S.)",104917,3.773,NA,91.4716471647165,91.6966696669667,NA,79.92726619,2,NA,NA,80.319512195122,8.63342756669479,0.00189729919459649,NA,5.9,NA
"West Bank and Gaza",5165775,22.418,4720,55.7424485062676,17.3411011099453,NA,77.60221248,3.436,97,12.3,73.444,26.3636264444046,NA,3.13,15.4,NA
"Yemen, Rep.",34449825,60.169,NA,NA,NA,NA,46.0195416,3.716,73,33.1,63.72,34.8323598356099,0.363929740833901,2.07,3.7,NA
"Zambia",20569737,53.665,1170,33.9924211751453,52.2160900183192,1.18630432872079,103.9746368,4.242,90,39,61.803,24.3085919008655,0.463125712651444,7.82,83,98.4125658235952
"Zimbabwe",16665409,67.483,1720,28.0718876497548,22.775240716702,0.42705656262948,89.14601935,3.437,90,34.6,59.391,19.4941796611344,0.626431593519257,14.77,82.4,51.6076172647948
