"Country","Population","Rural","GNI","Imports","Exports","Military","Cell","Fertility","Measles","InfMort","LifeExp","PM2.5","CO2","EnergyUse","Renewable","Debt"
"Canada",40097761,18.138,53300,31.2078114577635,31.2163529553383,1.23665591258666,88.09065504,1.33,92,4.3,81.2956097560976,6.56566994375263,14.9483053723747,6.55,23.8,NA
"Cayman Islands",69310,0,68790,NA,NA,NA,146.7652929,NA,NA,NA,NA,NA,4.47122522050476,1.93,0,NA
"Central African Republic",5742315,56.386,480,30.9316599983489,13.2274599967551,1.69643629147357,33.55228751,5.918,41,73.5,54.477,34.4334184466457,0.0494878784272283,8.41,90.9,40.5775417974437
"Chad",18278568,75.634,680,44.2346496159658,38.7501272510812,2.92548684152958,60.22303015,6.215,56,64.1,52.997,49.1388484128027,0.119074789338225,4.34,69.9,27.7328480546517
"Channel Islands",175346,68.841,NA,NA,NA,NA,NA,1.469,NA,NA,81.583,NA,NA,NA,NA,NA
"Chile",19629590,11.988,15430,32.8648637520698,31.9735835020867,1.8339814713597,136.3134058,1.539,94,5.4,79.519,23.2750668049145,4.73678661099904,3.46,24.2,NA
"China",1410710000,35.43,12890,17.3580170349261,19.9439738306996,1.59538074333145,121.5382526,1.175,99,4.8,78.587,34.8105237153218,8.97015483208526,6.3,15.2,13.4419126997382
"Colombia",52085168,17.646,6630,23.8621404387264,16.1970059548864,3.07910775361056,145.6931676,1.692,88,10.6,73.659,14.1832514905064,1.70547401527979,2.33,29.7,55.7901401138258
"Comoros",852075,69.868,1610,31.4704071109001,10.8073216153852,NA,103.8731734,3.912,86,38.2,63.68,11.9332724091044,0.409788067028851,4.27,41.2,29.5285669689214
"Congo, Dem. Rep.",102262808,52.556,610,40.0954818555036,40.385829565187,0.578894366833228,48.89330021,6.106,56,60.1,59.743,26.6494833206385,0.035873067315521,12.51,96.3,15.1649700125326
"Congo, Rep.",6106869,30.812,2290,32.7096322965954,52.8365708586233,1.84718915649027,96.78757313,4.095,65,31.2,63.053,28.5737499496554,1.24543918488871,6.72,71.4,53.4398740363815
"Costa Rica",5212173,17.378,12920,34.6052852757431,36.1763570269654,NA,152.0081561,1.522,90,6.9,77.32,14.3075712471404,1.66158736372113,1.99,34.2,60.7444889095739
"Cote d'Ivoire",28873034,46.851,2620,22.8177649393033,22.2962678369402,0.889183594972784,162.1701041,4.342,65,52.4,58.916,49.4977827339493,0.514617225762203,3.3,58.2,47.1145237830899
"Croatia",3853200,41.425,19650,52.0794044441541,49.3538989841714,2.16749051634117,108.4252864,1.53,90,3.9,77.5756097560976,16.1208592960264,4.46748024517843,2.91,34.1,NA
"Cuba",11194449,22.477,NA,45.1302130762765,34.8935719095063,NA,63.10466641,1.449,99,6.2,78.155,21.2367242811561,2.20927381633081,1.35,20.9,NA
"Curacao",147862,10.977,20590,NA,NA,NA,88.26771323,1.3,NA,NA,NA,NA,NA,10.39,2.8,NA
"Cyprus",1260138,33.013,31520,85.4505181599695,89.409089432088,1.81479665162789,148.7380631,1.311,86,2.7,81.889,13.508701890821,5.96114385435577,2.45,15.6,NA
"Czechia",10873689,25.448,26140,69.7667775410123,72.7282340956374,1.35806383214179,126.4124254,1.61774660294866,97,2.1,79.0292682926829,14.1110711384133,9.51495288938897,4.16,17.2,NA
